Average_Turnaround_Time: 149.391972, Average_Waiting_Time: 73.391972, Average_Response_Time: 73.220940
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	1         	60             	0.00           	0.06                	0.06           	60.15          	60.15               	0.15                	0.06                	Y         
4         	0         	75             	30.00          	30.00               	30.00          	105.08         	75.08               	0.08                	0.00                	Y         
2         	2         	85             	20.00          	20.00               	20.00          	105.09         	85.09               	0.09                	0.00                	Y         
3         	3         	105            	20.00          	20.00               	20.00          	125.29         	105.29              	0.29                	0.00                	Y         
8         	0         	30             	50.00          	105.08              	105.08         	135.18         	85.18               	55.18               	55.08               	Y         
5         	1         	90             	30.00          	60.15               	60.15          	150.26         	120.26              	30.26               	30.15               	Y         
6         	2         	45             	50.00          	105.09              	105.09         	150.26         	100.26              	55.26               	55.09               	Y         
7         	3         	35             	50.00          	125.29              	125.29         	160.48         	110.48              	75.48               	75.29               	Y         
9         	1         	80             	50.00          	150.26              	150.26         	230.46         	180.46              	100.46              	100.26              	Y         
10        	2         	95             	50.00          	150.26              	150.26         	245.40         	195.40              	100.40              	100.26              	Y         
11        	3         	100            	60.00          	160.48              	160.48         	260.57         	200.57              	100.57              	100.48              	Y         
13        	1         	45             	70.00          	230.46              	230.46         	275.58         	205.58              	160.58              	160.46              	Y         
12        	0         	175            	60.00          	135.18              	135.18         	310.26         	250.26              	75.26               	75.18               	Y         
14        	2         	65             	80.00          	245.40              	245.40         	310.48         	230.48              	165.48              	165.40              	Y         
15        	3         	55             	80.00          	260.58              	260.58         	316.34         	236.34              	181.34              	180.58              	Y         
