Average_Turnaround_Time: 196.186466, Average_Waiting_Time: 120.186466, Average_Response_Time: 10.231689
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	1         	60             	0.00           	0.09                	0.09           	20.18          	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.04               	20.04          	40.14          	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.04               	20.04          	40.14          	0.00                	0.00                	0.00                	N         
1         	1         	60             	0.00           	0.09                	20.18          	40.26          	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.01               	30.01          	50.12          	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.04               	40.14          	60.22          	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.04               	40.14          	60.22          	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.26               	40.26          	60.33          	0.00                	0.00                	0.00                	N         
8         	0         	30             	50.00          	50.12               	50.12          	70.21          	0.00                	0.00                	0.00                	N         
7         	3         	35             	50.00          	60.23               	60.23          	80.30          	0.00                	0.00                	0.00                	N         
6         	2         	45             	50.00          	60.23               	60.23          	80.32          	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.33               	60.33          	80.47          	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.21               	70.21          	90.30          	0.00                	0.00                	0.00                	N         
11        	3         	100            	60.00          	80.30               	80.30          	100.40         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.32               	80.32          	100.41         	0.00                	0.00                	0.00                	N         
13        	1         	45             	70.00          	80.47               	80.47          	100.55         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.01               	90.30          	110.38         	0.00                	0.00                	0.00                	N         
8         	0         	30             	50.00          	50.12               	110.39         	120.47         	70.47               	40.47               	0.12                	Y         
15        	3         	55             	80.00          	100.41              	100.41         	120.48         	0.00                	0.00                	0.00                	N         
14        	2         	65             	80.00          	100.41              	100.41         	120.49         	0.00                	0.00                	0.00                	N         
1         	1         	60             	0.00           	0.09                	100.55         	120.63         	120.63              	60.63               	0.09                	Y         
12        	0         	175            	60.00          	70.21               	120.47         	140.57         	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.04               	120.48         	140.59         	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.04               	120.49         	140.60         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.26               	120.63         	140.73         	0.00                	0.00                	0.00                	N         
7         	3         	35             	50.00          	60.23               	140.59         	155.70         	105.70              	70.70               	10.23               	Y         
4         	0         	75             	30.00          	30.01               	140.57         	160.65         	0.00                	0.00                	0.00                	N         
6         	2         	45             	50.00          	60.23               	140.60         	160.69         	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.33               	140.73         	160.82         	0.00                	0.00                	0.00                	N         
11        	3         	100            	60.00          	80.30               	155.70         	175.81         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.21               	160.65         	180.74         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.32               	160.69         	180.77         	0.00                	0.00                	0.00                	N         
13        	1         	45             	70.00          	80.47               	160.82         	180.91         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.01               	180.74         	195.84         	165.84              	90.84               	0.01                	Y         
15        	3         	55             	80.00          	100.41              	175.81         	195.88         	0.00                	0.00                	0.00                	N         
14        	2         	65             	80.00          	100.41              	180.77         	200.88         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.26               	180.91         	201.01         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.21               	195.84         	215.94         	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.04               	195.88         	215.97         	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.04               	200.88         	220.97         	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.33               	201.01         	221.11         	0.00                	0.00                	0.00                	N         
6         	2         	45             	50.00          	60.23               	220.97         	226.04         	176.04              	131.04              	10.23               	Y         
13        	1         	45             	70.00          	80.47               	221.11         	226.19         	156.19              	111.19              	10.47               	Y         
12        	0         	175            	60.00          	70.21               	215.94         	236.04         	0.00                	0.00                	0.00                	N         
11        	3         	100            	60.00          	80.30               	215.97         	236.06         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.32               	226.04         	246.18         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.26               	226.20         	246.34         	0.00                	0.00                	0.00                	N         
15        	3         	55             	80.00          	100.41              	236.06         	251.15         	171.15              	116.15              	20.41               	Y         
12        	0         	175            	60.00          	70.21               	236.04         	256.13         	0.00                	0.00                	0.00                	N         
14        	2         	65             	80.00          	100.41              	246.20         	266.32         	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.33               	246.34         	266.44         	216.44              	136.44              	10.33               	Y         
3         	3         	105            	20.00          	20.04               	251.16         	271.24         	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.04               	266.32         	271.39         	251.39              	166.39              	0.04                	Y         
12        	0         	175            	60.00          	70.21               	256.15         	276.23         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.26               	266.44         	276.53         	246.53              	156.53              	10.26               	Y         
11        	3         	100            	60.00          	80.30               	271.24         	291.31         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.32               	271.39         	291.47         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.21               	276.24         	296.31         	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.04               	291.32         	296.39         	276.39              	171.39              	0.04                	Y         
14        	2         	65             	80.00          	100.41              	291.47         	296.54         	216.54              	151.54              	20.41               	Y         
12        	0         	175            	60.00          	70.21               	296.31         	311.43         	251.43              	76.43               	10.21               	Y         
10        	2         	95             	50.00          	80.32               	296.54         	311.61         	261.61              	166.61              	30.32               	Y         
11        	3         	100            	60.00          	80.30               	296.39         	316.46         	256.46              	156.46              	20.30               	Y         
