Average_Turnaround_Time: 140.591036, Average_Waiting_Time: 64.591036, Average_Response_Time: 64.493771
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	1         	60             	0.00           	0.08                	0.08           	60.16          	60.16               	0.16                	0.08                	Y         
2         	2         	85             	20.00          	20.00               	20.00          	105.08         	85.08               	0.08                	0.00                	Y         
4         	0         	75             	30.00          	30.00               	30.00          	105.08         	75.08               	0.08                	0.00                	Y         
3         	3         	105            	20.00          	20.00               	20.00          	125.10         	105.10              	0.10                	0.00                	Y         
8         	0         	30             	50.00          	105.09              	105.09         	135.19         	85.19               	55.19               	55.09               	Y         
9         	1         	80             	50.00          	60.17               	60.17          	140.32         	90.32               	10.32               	10.17               	Y         
6         	2         	45             	50.00          	105.09              	105.09         	150.17         	100.17              	55.17               	55.09               	Y         
7         	3         	35             	50.00          	125.10              	125.10         	160.18         	110.18              	75.18               	75.10               	Y         
13        	1         	45             	70.00          	140.32              	140.32         	185.44         	115.44              	70.44               	70.32               	Y         
14        	2         	65             	80.00          	150.17              	150.17         	215.29         	135.29              	70.29               	70.17               	Y         
15        	3         	55             	80.00          	160.18              	160.18         	215.29         	135.29              	80.29               	80.18               	Y         
5         	1         	90             	30.00          	185.44              	185.44         	275.57         	245.57              	155.57              	155.44              	Y         
12        	0         	175            	60.00          	135.19              	135.19         	310.27         	250.27              	75.27               	75.19               	Y         
10        	2         	95             	50.00          	215.29              	215.29         	310.37         	260.37              	165.37              	165.29              	Y         
11        	3         	100            	60.00          	215.29              	215.29         	315.36         	255.36              	155.36              	155.29              	Y         
