Average_Turnaround_Time: 149.309861, Average_Waiting_Time: 73.309861, Average_Response_Time: 73.199991
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.04                	0.04           	60.16          	60.16               	0.16                	0.04                	Y         
4         	3         	75             	30.00          	30.00               	30.00          	105.09         	75.09               	0.09                	0.00                	Y         
2         	1         	85             	20.00          	20.00               	20.00          	105.26         	85.26               	0.26                	0.00                	Y         
3         	2         	105            	20.00          	20.00               	20.00          	125.12         	105.12              	0.12                	0.00                	Y         
8         	3         	30             	50.00          	105.09              	105.09         	135.18         	85.18               	55.18               	55.09               	Y         
5         	0         	90             	30.00          	60.16               	60.16          	150.31         	120.31              	30.31               	30.16               	Y         
6         	1         	45             	50.00          	105.26              	105.26         	150.38         	100.38              	55.38               	55.26               	Y         
7         	2         	35             	50.00          	125.12              	125.12         	160.22         	110.22              	75.22               	75.12               	Y         
9         	0         	80             	50.00          	150.31              	150.31         	230.42         	180.42              	100.42              	100.31              	Y         
10        	1         	95             	50.00          	150.38              	150.38         	245.48         	195.48              	100.48              	100.38              	Y         
11        	2         	100            	60.00          	160.22              	160.22         	260.32         	200.32              	100.32              	100.22              	Y         
13        	0         	45             	70.00          	230.42              	230.42         	275.50         	205.50              	160.50              	160.42              	Y         
12        	3         	175            	60.00          	135.18              	135.18         	310.25         	250.25              	75.25               	75.18               	Y         
14        	1         	65             	80.00          	245.48              	245.48         	310.55         	230.55              	165.55              	165.48              	Y         
15        	2         	55             	80.00          	260.33              	260.33         	315.40         	235.40              	180.40              	180.33              	Y         
