Average_Turnaround_Time: 196.132059, Average_Waiting_Time: 120.132059, Average_Response_Time: 10.202999
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.06                	0.06           	20.13          	0.00                	0.00                	0.00                	N         
3         	2         	105            	20.00          	20.04               	20.04          	40.11          	0.00                	0.00                	0.00                	N         
2         	1         	85             	20.00          	20.04               	20.04          	40.11          	0.00                	0.00                	0.00                	N         
1         	0         	60             	0.00           	0.06                	20.13          	40.21          	0.00                	0.00                	0.00                	N         
4         	3         	75             	30.00          	30.02               	30.02          	50.10          	0.00                	0.00                	0.00                	N         
3         	2         	105            	20.00          	20.04               	40.11          	60.19          	0.00                	0.00                	0.00                	N         
2         	1         	85             	20.00          	20.04               	40.11          	60.19          	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	40.21               	40.21          	60.29          	0.00                	0.00                	0.00                	N         
8         	3         	30             	50.00          	50.10               	50.10          	70.18          	0.00                	0.00                	0.00                	N         
6         	1         	45             	50.00          	60.20               	60.20          	80.27          	0.00                	0.00                	0.00                	N         
7         	2         	35             	50.00          	60.20               	60.20          	80.27          	0.00                	0.00                	0.00                	N         
9         	0         	80             	50.00          	60.29               	60.29          	80.37          	0.00                	0.00                	0.00                	N         
12        	3         	175            	60.00          	70.18               	70.18          	90.26          	0.00                	0.00                	0.00                	N         
11        	2         	100            	60.00          	80.27               	80.27          	100.36         	0.00                	0.00                	0.00                	N         
10        	1         	95             	50.00          	80.27               	80.27          	100.44         	0.00                	0.00                	0.00                	N         
13        	0         	45             	70.00          	80.37               	80.37          	100.45         	0.00                	0.00                	0.00                	N         
4         	3         	75             	30.00          	30.02               	90.26          	110.34         	0.00                	0.00                	0.00                	N         
8         	3         	30             	50.00          	50.10               	110.34         	120.46         	70.46               	40.46               	0.10                	Y         
15        	2         	55             	80.00          	100.37              	100.37         	120.46         	0.00                	0.00                	0.00                	N         
