Average_Turnaround_Time: 140.856317, Average_Waiting_Time: 64.856317, Average_Response_Time: 64.533539
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.05                	0.05           	60.22          	60.22               	0.22                	0.05                	Y         
2         	1         	85             	20.00          	20.00               	20.00          	105.11         	85.11               	0.11                	0.00                	Y         
4         	3         	75             	30.00          	30.00               	30.00          	105.15         	75.15               	0.15                	0.00                	Y         
3         	2         	105            	20.00          	20.00               	20.00          	125.12         	105.12              	0.12                	0.00                	Y         
8         	3         	30             	50.00          	105.15              	105.15         	135.26         	85.26               	55.26               	55.15               	Y         
9         	0         	80             	50.00          	60.22               	60.22          	140.34         	90.34               	10.34               	10.22               	Y         
6         	1         	45             	50.00          	105.11              	105.11         	150.32         	100.32              	55.32               	55.11               	Y         
7         	2         	35             	50.00          	125.12              	125.12         	160.22         	110.22              	75.22               	75.12               	Y         
13        	0         	45             	70.00          	140.34              	140.34         	185.42         	115.42              	70.42               	70.34               	Y         
15        	2         	55             	80.00          	160.22              	160.22         	215.34         	135.34              	80.34               	80.22               	Y         
14        	1         	65             	80.00          	150.32              	150.32         	215.43         	135.43              	70.43               	70.32               	Y         
5         	0         	90             	30.00          	185.42              	185.42         	275.54         	245.54              	155.54              	155.42              	Y         
12        	3         	175            	60.00          	135.27              	135.27         	310.36         	250.36              	75.36               	75.27               	Y         
10        	1         	95             	50.00          	215.43              	215.43         	310.62         	260.62              	165.62              	165.43              	Y         
11        	2         	100            	60.00          	215.34              	215.34         	318.40         	258.40              	158.40              	155.34              	Y         
