Average_Turnaround_Time: 554.163650, Average_Waiting_Time: 478.163650, Average_Response_Time: 478.068720
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.06                	0.06           	60.14          	60.14               	0.14                	0.06                	Y         
2         	0         	85             	20.00          	60.14               	60.14          	145.22         	125.22              	40.22               	40.14               	Y         
3         	0         	105            	20.00          	145.22              	145.22         	250.41         	230.41              	125.41              	125.22              	Y         
4         	0         	75             	30.00          	250.41              	250.41         	325.49         	295.49              	220.49              	220.41              	Y         
5         	0         	90             	30.00          	325.49              	325.49         	415.57         	385.57              	295.57              	295.49              	Y         
6         	0         	45             	50.00          	415.57              	415.57         	460.65         	410.65              	365.65              	365.57              	Y         
7         	0         	35             	50.00          	460.65              	460.65         	495.73         	445.73              	410.73              	410.65              	Y         
8         	0         	30             	50.00          	495.73              	495.73         	525.80         	475.80              	445.80              	445.73              	Y         
9         	0         	80             	50.00          	525.80              	525.80         	605.88         	555.88              	475.88              	475.80              	Y         
10        	0         	95             	50.00          	605.88              	605.88         	701.00         	651.00              	556.00              	555.88              	Y         
11        	0         	100            	60.00          	701.01              	701.01         	801.13         	741.13              	641.13              	641.01              	Y         
12        	0         	175            	60.00          	801.13              	801.13         	976.22         	916.22              	741.22              	741.13              	Y         
13        	0         	45             	70.00          	976.22              	976.22         	1021.30        	951.30              	906.30              	906.22              	Y         
14        	0         	65             	80.00          	1021.30             	1021.30        	1086.42        	1006.42             	941.42              	941.30              	Y         
15        	0         	55             	80.00          	1086.43             	1086.43        	1141.51        	1061.51             	1006.51             	1006.43             	Y         
