Average_Turnaround_Time: 807.144883, Average_Waiting_Time: 731.144883, Average_Response_Time: 94.015617
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.13                	0.13           	20.20          	0.00                	0.00                	0.00                	N         
2         	0         	85             	20.00          	20.21               	20.21          	40.28          	0.00                	0.00                	0.00                	N         
3         	0         	105            	20.00          	40.28               	40.28          	60.35          	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	60.36               	60.36          	80.42          	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	80.42               	80.42          	100.50         	0.00                	0.00                	0.00                	N         
6         	0         	45             	50.00          	100.50              	100.50         	120.57         	0.00                	0.00                	0.00                	N         
7         	0         	35             	50.00          	120.57              	120.57         	140.65         	0.00                	0.00                	0.00                	N         
8         	0         	30             	50.00          	140.65              	140.65         	160.72         	0.00                	0.00                	0.00                	N         
9         	0         	80             	50.00          	160.72              	160.72         	180.79         	0.00                	0.00                	0.00                	N         
10        	0         	95             	50.00          	180.79              	180.79         	200.90         	0.00                	0.00                	0.00                	N         
11        	0         	100            	60.00          	200.90              	200.90         	220.97         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	220.98              	220.98         	241.10         	0.00                	0.00                	0.00                	N         
13        	0         	45             	70.00          	241.14              	241.14         	261.26         	0.00                	0.00                	0.00                	N         
14        	0         	65             	80.00          	261.26              	261.26         	281.33         	0.00                	0.00                	0.00                	N         
15        	0         	55             	80.00          	281.33              	281.33         	301.40         	0.00                	0.00                	0.00                	N         
1         	0         	60             	0.00           	0.13                	301.40         	321.46         	0.00                	0.00                	0.00                	N         
2         	0         	85             	20.00          	20.21               	321.46         	341.53         	0.00                	0.00                	0.00                	N         
3         	0         	105            	20.00          	40.28               	341.53         	361.61         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	60.36               	361.61         	381.69         	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	80.42               	381.69         	401.76         	0.00                	0.00                	0.00                	N         
6         	0         	45             	50.00          	100.50              	401.77         	421.88         	0.00                	0.00                	0.00                	N         
7         	0         	35             	50.00          	120.57              	421.88         	436.95         	386.95              	351.95              	70.57               	Y         
