Average_Turnaround_Time: 429.364716, Average_Waiting_Time: 353.364716, Average_Response_Time: 353.283806
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.05                	0.05           	60.12          	60.12               	0.12                	0.05                	Y         
8         	0         	30             	50.00          	60.12               	60.12          	90.20          	40.20               	10.20               	10.12               	Y         
7         	0         	35             	50.00          	90.20               	90.20          	125.27         	75.27               	40.27               	40.20               	Y         
6         	0         	45             	50.00          	125.27              	125.27         	170.36         	120.36              	75.36               	75.27               	Y         
13        	0         	45             	70.00          	170.36              	170.36         	215.44         	145.44              	100.44              	100.36              	Y         
15        	0         	55             	80.00          	215.44              	215.44         	270.51         	190.51              	135.51              	135.44              	Y         
14        	0         	65             	80.00          	270.52              	270.52         	335.59         	255.59              	190.59              	190.52              	Y         
4         	0         	75             	30.00          	335.59              	335.59         	410.71         	380.71              	305.71              	305.59              	Y         
9         	0         	80             	50.00          	410.72              	410.72         	490.79         	440.79              	360.79              	360.72              	Y         
2         	0         	85             	20.00          	490.79              	490.79         	575.88         	555.88              	470.88              	470.79              	Y         
5         	0         	90             	30.00          	575.88              	575.88         	665.96         	635.96              	545.96              	545.88              	Y         
10        	0         	95             	50.00          	665.96              	665.96         	761.03         	711.03              	616.03              	615.96              	Y         
11        	0         	100            	60.00          	761.04              	761.04         	861.12         	801.12              	701.12              	701.04              	Y         
3         	0         	105            	20.00          	861.12              	861.12         	966.20         	946.20              	841.20              	841.12              	Y         
12        	0         	175            	60.00          	966.20              	966.20         	1141.28        	1081.28             	906.28              	906.20              	Y         
