Average_Turnaround_Time: 152.771446, Average_Waiting_Time: 74.557160, Average_Response_Time: 74.458112
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	1         	60             	0.00           	0.09                	0.09           	60.17          	60.17               	0.17                	0.09                	Y         
4         	0         	75             	30.00          	30.00               	30.00          	105.16         	75.16               	0.16                	0.00                	Y         
2         	2         	85             	20.00          	20.00               	20.00          	105.17         	85.17               	0.17                	0.00                	Y         
3         	3         	105            	20.00          	20.00               	20.00          	125.10         	105.10              	0.10                	0.00                	Y         
8         	0         	30             	50.00          	105.16              	105.16         	135.27         	85.27               	55.27               	55.16               	Y         
5         	1         	90             	30.00          	60.17               	60.17          	150.25         	120.25              	30.25               	30.17               	Y         
7         	3         	35             	50.00          	125.10              	125.10         	160.18         	110.18              	75.18               	75.10               	Y         
9         	1         	80             	50.00          	150.25              	150.25         	230.34         	180.34              	100.34              	100.25              	Y         
10        	2         	95             	50.00          	150.25              	150.25         	245.34         	195.34              	100.34              	100.25              	Y         
11        	3         	100            	60.00          	160.18              	160.18         	260.28         	200.28              	100.28              	100.18              	Y         
13        	1         	45             	70.00          	230.34              	230.34         	275.43         	205.43              	160.43              	160.34              	Y         
12        	0         	175            	60.00          	135.27              	135.27         	310.35         	250.35              	75.35               	75.27               	Y         
14        	2         	65             	80.00          	245.34              	245.34         	310.42         	230.42              	165.42              	165.34              	Y         
15        	3         	55             	80.00          	260.28              	260.28         	315.36         	235.36              	180.36              	180.28              	Y         
