Average_Turnaround_Time: 205.207968, Average_Waiting_Time: 125.922253, Average_Response_Time: 10.929847
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	1         	60             	0.00           	0.09                	0.09           	20.17          	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.02               	20.02          	40.09          	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.02               	20.02          	40.10          	0.00                	0.00                	0.00                	N         
1         	1         	60             	0.00           	0.09                	20.17          	40.24          	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.02               	30.02          	50.08          	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.02               	40.10          	60.16          	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.02               	40.10          	60.17          	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.24               	40.24          	60.38          	0.00                	0.00                	0.00                	N         
8         	0         	30             	50.00          	50.08               	50.08          	70.16          	0.00                	0.00                	0.00                	N         
6         	2         	45             	50.00          	60.17               	60.17          	80.25          	0.00                	0.00                	0.00                	N         
7         	3         	35             	50.00          	60.17               	60.17          	80.29          	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.38               	60.38          	80.50          	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.16               	70.16          	90.27          	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.25               	80.25          	100.34         	0.00                	0.00                	0.00                	N         
11        	3         	100            	60.00          	80.29               	80.29          	100.37         	0.00                	0.00                	0.00                	N         
13        	1         	45             	70.00          	80.50               	80.50          	100.57         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.02               	90.27          	110.38         	0.00                	0.00                	0.00                	N         
15        	3         	55             	80.00          	100.37              	100.37         	120.47         	0.00                	0.00                	0.00                	N         
14        	2         	65             	80.00          	100.34              	100.34         	120.47         	0.00                	0.00                	0.00                	N         
1         	1         	60             	0.00           	0.09                	100.57         	120.64         	120.64              	60.64               	0.09                	Y         
3         	3         	105            	20.00          	20.02               	120.47         	140.57         	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.02               	120.47         	140.58         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.16               	120.47         	140.58         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.24               	120.64         	140.73         	0.00                	0.00                	0.00                	N         
7         	3         	35             	50.00          	60.17               	140.57         	155.66         	105.66              	70.66               	10.17               	Y         
6         	2         	45             	50.00          	60.17               	140.58         	160.67         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.02               	140.58         	160.67         	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.38               	140.73         	160.81         	0.00                	0.00                	0.00                	N         
11        	3         	100            	60.00          	80.29               	155.67         	175.76         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.16               	160.67         	180.77         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.25               	160.67         	180.78         	0.00                	0.00                	0.00                	N         
13        	1         	45             	70.00          	80.50               	160.81         	180.90         	0.00                	0.00                	0.00                	N         
15        	3         	55             	80.00          	100.37              	175.76         	195.84         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	30.02               	180.77         	195.86         	165.86              	90.86               	0.02                	Y         
14        	2         	65             	80.00          	100.34              	180.78         	200.89         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.24               	180.90         	201.01         	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.02               	195.84         	215.96         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.16               	195.86         	215.97         	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.02               	200.89         	220.99         	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.38               	201.02         	221.19         	0.00                	0.00                	0.00                	N         
6         	2         	45             	50.00          	60.17               	220.99         	226.06         	176.06              	131.06              	10.17               	Y         
13        	1         	45             	70.00          	80.50               	221.19         	226.34         	156.34              	111.34              	10.50               	Y         
12        	0         	175            	60.00          	70.16               	215.97         	236.07         	0.00                	0.00                	0.00                	N         
11        	3         	100            	60.00          	80.29               	215.96         	236.07         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.25               	226.06         	246.16         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.24               	226.37         	246.56         	0.00                	0.00                	0.00                	N         
15        	3         	55             	80.00          	100.37              	236.07         	251.16         	171.16              	116.16              	20.37               	Y         
12        	0         	175            	60.00          	70.16               	236.07         	256.16         	0.00                	0.00                	0.00                	N         
14        	2         	65             	80.00          	100.34              	246.18         	266.29         	0.00                	0.00                	0.00                	N         
9         	1         	80             	50.00          	60.38               	246.56         	266.65         	216.65              	136.65              	10.38               	Y         
3         	3         	105            	20.00          	20.02               	251.17         	271.26         	0.00                	0.00                	0.00                	N         
2         	2         	85             	20.00          	20.02               	266.29         	271.36         	251.36              	166.36              	0.02                	Y         
12        	0         	175            	60.00          	70.16               	256.21         	276.29         	0.00                	0.00                	0.00                	N         
5         	1         	90             	30.00          	40.24               	266.65         	276.75         	246.75              	156.75              	10.24               	Y         
11        	3         	100            	60.00          	80.29               	271.26         	291.33         	0.00                	0.00                	0.00                	N         
10        	2         	95             	50.00          	80.25               	271.36         	291.42         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	70.16               	276.29         	296.36         	0.00                	0.00                	0.00                	N         
3         	3         	105            	20.00          	20.02               	291.34         	296.40         	276.40              	171.40              	0.02                	Y         
14        	2         	65             	80.00          	100.34              	291.42         	296.49         	216.49              	151.49              	20.34               	Y         
12        	0         	175            	60.00          	70.16               	296.36         	311.44         	251.44              	76.44               	10.16               	Y         
10        	2         	95             	50.00          	80.25               	296.50         	311.60         	261.60              	166.60              	30.25               	Y         
11        	3         	100            	60.00          	80.29               	296.40         	316.48         	256.48              	156.48              	20.29               	Y         
