Average_Turnaround_Time: 169.571625, Average_Waiting_Time: 93.571625, Average_Response_Time: 85.144777
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	1         	60             	0.00           	0.08                	0.08           	70.69          	70.69               	10.69               	0.08                	Y         
4         	0         	75             	30.00          	30.00               	30.00          	117.29         	87.29               	12.29               	0.00                	Y         
2         	2         	85             	20.00          	20.00               	20.00          	117.29         	97.29               	12.29               	0.00                	Y         
3         	3         	105            	20.00          	20.00               	20.00          	132.27         	112.27              	7.27                	0.00                	Y         
8         	0         	30             	50.00          	117.29              	117.29         	147.95         	97.95               	67.95               	67.29               	Y         
5         	1         	90             	30.00          	70.73               	70.73          	163.94         	133.94              	43.94               	40.73               	Y         
6         	2         	45             	50.00          	117.29              	117.29         	163.98         	113.98              	68.98               	67.29               	Y         
7         	3         	35             	50.00          	132.27              	132.27         	179.47         	129.47              	94.47               	82.27               	Y         
9         	1         	80             	50.00          	163.95              	163.95         	255.33         	205.33              	125.33              	113.95              	Y         
10        	2         	95             	50.00          	163.98              	163.98         	271.55         	221.55              	126.55              	113.98              	Y         
11        	3         	100            	60.00          	179.47              	179.47         	287.27         	227.27              	127.27              	119.47              	Y         
13        	1         	45             	70.00          	255.33              	255.33         	302.40         	232.40              	187.40              	185.33              	Y         
12        	0         	175            	60.00          	147.95              	147.95         	334.10         	274.10              	99.10               	87.95               	Y         
14        	2         	65             	80.00          	271.55              	271.55         	350.02         	270.02              	205.02              	191.55              	Y         
15        	3         	55             	80.00          	287.27              	287.27         	350.03         	270.03              	215.03              	207.27              	Y         
