Average_Turnaround_Time: 149.235983, Average_Waiting_Time: 73.235983, Average_Response_Time: 73.143469
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.04                	0.04           	60.14          	60.14               	0.14                	0.04                	Y         
2         	1         	85             	20.00          	20.00               	20.00          	105.08         	85.08               	0.08                	0.00                	Y         
4         	3         	75             	30.00          	30.00               	30.00          	105.10         	75.10               	0.10                	0.00                	Y         
3         	2         	105            	20.00          	20.00               	20.00          	125.08         	105.08              	0.08                	0.00                	Y         
8         	3         	30             	50.00          	105.10              	105.10         	135.17         	85.17               	55.17               	55.10               	Y         
6         	1         	45             	50.00          	105.09              	105.09         	150.16         	100.16              	55.16               	55.09               	Y         
5         	0         	90             	30.00          	60.14               	60.14          	150.22         	120.22              	30.22               	30.14               	Y         
7         	2         	35             	50.00          	125.08              	125.08         	160.22         	110.22              	75.22               	75.08               	Y         
9         	0         	80             	50.00          	150.22              	150.22         	230.33         	180.33              	100.33              	100.22              	Y         
10        	1         	95             	50.00          	150.16              	150.16         	245.27         	195.27              	100.27              	100.16              	Y         
11        	2         	100            	60.00          	160.22              	160.22         	260.33         	200.33              	100.33              	100.22              	Y         
13        	0         	45             	70.00          	230.33              	230.33         	275.42         	205.42              	160.42              	160.33              	Y         
12        	3         	175            	60.00          	135.17              	135.17         	310.26         	250.26              	75.26               	75.17               	Y         
14        	1         	65             	80.00          	245.27              	245.27         	310.35         	230.35              	165.35              	165.27              	Y         
15        	2         	55             	80.00          	260.33              	260.33         	315.41         	235.41              	180.41              	180.33              	Y         
