Average_Turnaround_Time: 196.060247, Average_Waiting_Time: 120.060247, Average_Response_Time: 10.184975
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.06                	0.06           	20.14          	0.00                	0.00                	0.00                	N         
2         	1         	85             	20.00          	20.02               	20.02          	40.09          	0.00                	0.00                	0.00                	N         
3         	2         	105            	20.00          	20.05               	20.05          	40.13          	0.00                	0.00                	0.00                	N         
1         	0         	60             	0.00           	0.06                	20.14          	40.21          	0.00                	0.00                	0.00                	N         
4         	3         	75             	30.00          	30.02               	30.02          	50.09          	0.00                	0.00                	0.00                	N         
2         	1         	85             	20.00          	20.02               	40.10          	60.16          	0.00                	0.00                	0.00                	N         
3         	2         	105            	20.00          	20.05               	40.13          	60.20          	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	40.21               	40.21          	60.28          	0.00                	0.00                	0.00                	N         
8         	3         	30             	50.00          	50.09               	50.09          	70.16          	0.00                	0.00                	0.00                	N         
6         	1         	45             	50.00          	60.16               	60.16          	80.23          	0.00                	0.00                	0.00                	N         
7         	2         	35             	50.00          	60.20               	60.20          	80.27          	0.00                	0.00                	0.00                	N         
9         	0         	80             	50.00          	60.28               	60.28          	80.36          	0.00                	0.00                	0.00                	N         
12        	3         	175            	60.00          	70.16               	70.16          	90.23          	0.00                	0.00                	0.00                	N         
10        	1         	95             	50.00          	80.23               	80.23          	100.31         	0.00                	0.00                	0.00                	N         
11        	2         	100            	60.00          	80.27               	80.27          	100.35         	0.00                	0.00                	0.00                	N         
13        	0         	45             	70.00          	80.36               	80.36          	100.45         	0.00                	0.00                	0.00                	N         
4         	3         	75             	30.00          	30.02               	90.23          	110.35         	0.00                	0.00                	0.00                	N         
14        	1         	65             	80.00          	100.31              	100.31         	120.41         	0.00                	0.00                	0.00                	N         
8         	3         	30             	50.00          	50.09               	110.35         	120.47         	70.47               	40.47               	0.09                	Y         
15        	2         	55             	80.00          	100.35              	100.35         	120.48         	0.00                	0.00                	0.00                	N         
1         	0         	60             	0.00           	0.06                	100.46         	120.55         	120.55              	60.55               	0.06                	Y         
2         	1         	85             	20.00          	20.02               	120.41         	140.52         	0.00                	0.00                	0.00                	N         
12        	3         	175            	60.00          	70.16               	120.47         	140.56         	0.00                	0.00                	0.00                	N         
3         	2         	105            	20.00          	20.05               	120.48         	140.58         	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	40.21               	120.55         	140.65         	0.00                	0.00                	0.00                	N         
7         	2         	35             	50.00          	60.20               	140.58         	155.66         	105.66              	70.66               	10.20               	Y         
6         	1         	45             	50.00          	60.16               	140.52         	160.59         	0.00                	0.00                	0.00                	N         
4         	3         	75             	30.00          	30.02               	140.56         	160.63         	0.00                	0.00                	0.00                	N         
9         	0         	80             	50.00          	60.28               	140.65         	160.71         	0.00                	0.00                	0.00                	N         
11        	2         	100            	60.00          	80.27               	155.66         	175.73         	0.00                	0.00                	0.00                	N         
10        	1         	95             	50.00          	80.23               	160.59         	180.67         	0.00                	0.00                	0.00                	N         
12        	3         	175            	60.00          	70.16               	160.63         	180.70         	0.00                	0.00                	0.00                	N         
13        	0         	45             	70.00          	80.36               	160.71         	180.77         	0.00                	0.00                	0.00                	N         
4         	3         	75             	30.00          	30.02               	180.70         	195.78         	165.78              	90.78               	0.02                	Y         
15        	2         	55             	80.00          	100.35              	175.73         	195.82         	0.00                	0.00                	0.00                	N         
14        	1         	65             	80.00          	100.31              	180.67         	200.75         	0.00                	0.00                	0.00                	N         
