Average_Turnaround_Time: 140.729669, Average_Waiting_Time: 64.729669, Average_Response_Time: 64.496902
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.05                	0.05           	60.15          	60.15               	0.15                	0.05                	Y         
2         	1         	85             	20.00          	20.00               	20.00          	105.09         	85.09               	0.09                	0.00                	Y         
4         	3         	75             	30.00          	30.00               	30.00          	105.10         	75.10               	0.10                	0.00                	Y         
3         	2         	105            	20.00          	20.00               	20.00          	125.09         	105.09              	0.09                	0.00                	Y         
8         	3         	30             	50.00          	105.10              	105.10         	135.18         	85.18               	55.18               	55.10               	Y         
9         	0         	80             	50.00          	60.15               	60.15          	140.24         	90.24               	10.24               	10.15               	Y         
6         	1         	45             	50.00          	105.09              	105.09         	150.20         	100.20              	55.20               	55.09               	Y         
7         	2         	35             	50.00          	125.09              	125.09         	160.21         	110.21              	75.21               	75.09               	Y         
13        	0         	45             	70.00          	140.24              	140.24         	185.36         	115.36              	70.36               	70.24               	Y         
14        	1         	65             	80.00          	150.20              	150.20         	215.32         	135.32              	70.32               	70.20               	Y         
15        	2         	55             	80.00          	160.21              	160.21         	215.45         	135.45              	80.45               	80.21               	Y         
5         	0         	90             	30.00          	185.36              	185.36         	275.62         	245.62              	155.62              	155.36              	Y         
12        	3         	175            	60.00          	135.18              	135.18         	310.26         	250.26              	75.26               	75.18               	Y         
10        	1         	95             	50.00          	215.32              	215.32         	310.40         	260.40              	165.40              	165.32              	Y         
11        	2         	100            	60.00          	215.45              	215.45         	317.27         	257.27              	157.27              	155.45              	Y         
