Average_Turnaround_Time: 554.070174, Average_Waiting_Time: 478.070174, Average_Response_Time: 477.985290
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.06                	0.06           	60.13          	60.13               	0.13                	0.06                	Y         
2         	0         	85             	20.00          	60.14               	60.14          	145.22         	125.22              	40.22               	40.14               	Y         
3         	0         	105            	20.00          	145.22              	145.22         	250.29         	230.29              	125.29              	125.22              	Y         
4         	0         	75             	30.00          	250.29              	250.29         	325.42         	295.42              	220.42              	220.29              	Y         
5         	0         	90             	30.00          	325.42              	325.42         	415.50         	385.50              	295.50              	295.42              	Y         
6         	0         	45             	50.00          	415.50              	415.50         	460.57         	410.57              	365.57              	365.50              	Y         
7         	0         	35             	50.00          	460.58              	460.58         	495.66         	445.66              	410.66              	410.58              	Y         
8         	0         	30             	50.00          	495.66              	495.66         	525.73         	475.73              	445.73              	445.66              	Y         
9         	0         	80             	50.00          	525.73              	525.73         	605.81         	555.81              	475.81              	475.73              	Y         
10        	0         	95             	50.00          	605.81              	605.81         	700.89         	650.89              	555.89              	555.81              	Y         
11        	0         	100            	60.00          	700.89              	700.89         	800.97         	740.97              	640.97              	640.89              	Y         
12        	0         	175            	60.00          	800.98              	800.98         	976.06         	916.06              	741.06              	740.98              	Y         
13        	0         	45             	70.00          	976.06              	976.06         	1021.19        	951.19              	906.19              	906.06              	Y         
14        	0         	65             	80.00          	1021.19             	1021.19        	1086.27        	1006.27             	941.27              	941.19              	Y         
15        	0         	55             	80.00          	1086.27             	1086.27        	1141.34        	1061.34             	1006.34             	1006.27             	Y         
