Average_Turnaround_Time: 807.047482, Average_Waiting_Time: 731.047482, Average_Response_Time: 93.939053
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.08                	0.08           	20.15          	0.00                	0.00                	0.00                	N         
2         	0         	85             	20.00          	20.15               	20.15          	40.23          	0.00                	0.00                	0.00                	N         
3         	0         	105            	20.00          	40.24               	40.24          	60.31          	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	60.31               	60.31          	80.37          	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	80.37               	80.37          	100.44         	0.00                	0.00                	0.00                	N         
6         	0         	45             	50.00          	100.44              	100.44         	120.51         	0.00                	0.00                	0.00                	N         
7         	0         	35             	50.00          	120.51              	120.51         	140.59         	0.00                	0.00                	0.00                	N         
8         	0         	30             	50.00          	140.59              	140.59         	160.66         	0.00                	0.00                	0.00                	N         
9         	0         	80             	50.00          	160.66              	160.66         	180.72         	0.00                	0.00                	0.00                	N         
10        	0         	95             	50.00          	180.73              	180.73         	200.79         	0.00                	0.00                	0.00                	N         
11        	0         	100            	60.00          	200.79              	200.79         	220.91         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	220.91              	220.91         	240.98         	0.00                	0.00                	0.00                	N         
13        	0         	45             	70.00          	240.99              	240.99         	261.10         	0.00                	0.00                	0.00                	N         
14        	0         	65             	80.00          	261.10              	261.10         	281.21         	0.00                	0.00                	0.00                	N         
15        	0         	55             	80.00          	281.21              	281.21         	301.29         	0.00                	0.00                	0.00                	N         
1         	0         	60             	0.00           	0.08                	301.29         	321.41         	0.00                	0.00                	0.00                	N         
2         	0         	85             	20.00          	20.15               	321.41         	341.49         	0.00                	0.00                	0.00                	N         
3         	0         	105            	20.00          	40.24               	341.49         	361.61         	0.00                	0.00                	0.00                	N         
4         	0         	75             	30.00          	60.31               	361.61         	381.73         	0.00                	0.00                	0.00                	N         
5         	0         	90             	30.00          	80.37               	381.73         	401.79         	0.00                	0.00                	0.00                	N         
6         	0         	45             	50.00          	100.44              	401.80         	421.86         	0.00                	0.00                	0.00                	N         
7         	0         	35             	50.00          	120.51              	421.86         	436.93         	386.93              	351.93              	70.51               	Y         
8         	0         	30             	50.00          	140.59              	436.93         	447.00         	397.00              	367.00              	90.59               	Y         
9         	0         	80             	50.00          	160.66              	447.00         	467.08         	0.00                	0.00                	0.00                	N         
10        	0         	95             	50.00          	180.73              	467.08         	487.21         	0.00                	0.00                	0.00                	N         
11        	0         	100            	60.00          	200.79              	487.21         	507.33         	0.00                	0.00                	0.00                	N         
12        	0         	175            	60.00          	220.91              	507.33         	527.44         	0.00                	0.00                	0.00                	N         
13        	0         	45             	70.00          	240.99              	527.44         	547.55         	0.00                	0.00                	0.00                	N         
14        	0         	65             	80.00          	261.10              	547.55         	567.72         	0.00                	0.00                	0.00                	N         
