Average_Turnaround_Time: 429.397284, Average_Waiting_Time: 353.397284, Average_Response_Time: 353.307250
Burst_ID  	CPU_ID    	Burst_Length   	Arrival_Time   	Real_Start_Time     	Start_Time     	Finish_Time    	Turnaround_Time     	Waiting_Time        	Response_Time       	Finished  
1         	0         	60             	0.00           	0.05                	0.05           	60.12          	60.12               	0.12                	0.05                	Y         
8         	0         	30             	50.00          	60.12               	60.12          	90.19          	40.19               	10.19               	10.12               	Y         
7         	0         	35             	50.00          	90.19               	90.19          	125.27         	75.27               	40.27               	40.19               	Y         
6         	0         	45             	50.00          	125.27              	125.27         	170.39         	120.39              	75.39               	75.27               	Y         
13        	0         	45             	70.00          	170.39              	170.39         	215.47         	145.47              	100.47              	100.39              	Y         
15        	0         	55             	80.00          	215.47              	215.47         	270.55         	190.55              	135.55              	135.47              	Y         
14        	0         	65             	80.00          	270.55              	270.55         	335.62         	255.62              	190.62              	190.55              	Y         
4         	0         	75             	30.00          	335.62              	335.62         	410.70         	380.70              	305.70              	305.62              	Y         
9         	0         	80             	50.00          	410.71              	410.71         	490.78         	440.78              	360.78              	360.71              	Y         
2         	0         	85             	20.00          	490.78              	490.78         	575.87         	555.87              	470.87              	470.78              	Y         
5         	0         	90             	30.00          	575.87              	575.87         	665.95         	635.95              	545.95              	545.87              	Y         
10        	0         	95             	50.00          	665.95              	665.95         	761.08         	711.08              	616.08              	615.95              	Y         
11        	0         	100            	60.00          	761.08              	761.08         	861.24         	801.24              	701.24              	701.08              	Y         
3         	0         	105            	20.00          	861.25              	861.25         	966.33         	946.33              	841.33              	841.25              	Y         
12        	0         	175            	60.00          	966.33              	966.33         	1141.41        	1081.41             	906.41              	906.33              	Y         
